case_id,timestamp,decline_code,amount,tree_model_score,routing_rationale,tree_model_top_features,routed_to_llm,llm_recommended_action,llm_confidence,llm_reasoning_summary,llm_schema_valid,guardrail_flags,proposed_action,final_action,guardrail_overrode,override_rule,requires_human_review,model_version,pipeline_version,baseline_final_action,baseline_guardrail_overrode,baseline_override_rule,pipeline_retried,baseline_retried
case_0000,2026-09-02T03:27:00.582662+00:00,05_do_not_honor,654.86,0.460502485416429,"score=0.4605 vs band=[0.3793, 0.4681] (in_band=True); decline_code='05_do_not_honor' (is_ambiguous=True) -> ROUTED to LLM (trigger: probability_band+ambiguous_code)","[{""feature"": ""ltv_tier"", ""value"": ""medium"", ""shap_value"": 0.27984421786915337}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.3495333555864037, ""shap_value"": -0.23139584086137474}, {""feature"": ""customer_tenure_days"", ""value"": 1758, ""shap_value"": 0.23021574260861416}, {""feature"": ""payment_rail"", ""value"": ""emandate"", ""shap_value"": -0.14636252025225663}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}]",True,escalate_human,0.65,"Features analyzed: ltv_tier (positive SHAP: 0.2798), historical_ptp_honor_rate (negative SHAP: -0.2314), customer_tenure_days (positive SHAP: 0.2302), payment_rail (negative SHAP: -0.1464), and issuer_bank_risk_tier (negative SHAP: -0.1196). The positive indicators (medium ltv_tier and high customer_tenure_days) are strongly counteracted by the negative influence of the low historical_ptp_honor_rate and the negative impact associated with the emandate payment_rail and issuer_bank_risk_tier profile. Given the conflict between positive long-term customer value indicators and the negative behavioral/structural indicators, I am missing definitive data on whether the '05_do_not_honor' code in this specific context represents a permanent block or a transient issue. Therefore, human intervention is recommended over automated retries.",True,,escalate_human,escalate_human,False,,True,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,False,True
case_0001,2026-09-02T03:27:02.199248+00:00,issuer_unavailable,662.42,0.44782182231893175,"score=0.4478 vs band=[0.3793, 0.4681] (in_band=True); decline_code='issuer_unavailable' (is_ambiguous=False) -> ROUTED to LLM (trigger: probability_band)","[{""feature"": ""historical_ptp_honor_rate"", ""value"": 0.686988518056919, ""shap_value"": 0.28606168341370797}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""payment_rail"", ""value"": ""emandate"", ""shap_value"": -0.14636252025225663}, {""feature"": ""customer_tenure_days"", ""value"": 358, ""shap_value"": -0.1383987598343003}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}]",True,prompt_alt_payment,0.75,"The features provided are: historical_ptp_honor_rate, ltv_tier, payment_rail, customer_tenure_days, and issuer_bank_risk_tier. The historical_ptp_honor_rate has a positive shap_value (0.286), which is favorable. However, this is heavily outweighed by the combined negative shap_values of the other drivers: ltv_tier (-0.201), payment_rail (-0.146), customer_tenure_days (-0.138), and issuer_bank_risk_tier (-0.119). Given the low LTV tier and the negative impact of the current payment rail and tenure, a retry is unlikely to be successful. Prompting for an alternative payment method is the safest route to avoid further decline cycles. I am missing data on the specific issuer bank response behavior beyond the general risk tier.",True,,prompt_alt_payment,prompt_alt_payment,False,,False,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,True,True
case_0002,2026-09-02T03:27:02.200605+00:00,generic_decline,826.98,0.4968617390296664,"score=0.4969 vs band=[0.3793, 0.4681] (in_band=False); decline_code='generic_decline' (is_ambiguous=False) -> NOT routed (template_action=retry_now)","[{""feature"": ""prior_retry_success_count"", ""value"": 2, ""shap_value"": -0.33871676033139303}, {""feature"": ""ltv_tier"", ""value"": ""medium"", ""shap_value"": 0.27984421786915337}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""medium_risk"", ""shap_value"": 0.2655573382885513}, {""feature"": ""day_of_week"", ""value"": ""thu"", ""shap_value"": -0.1750338202098383}, {""feature"": ""payment_rail"", ""value"": ""card"", ""shap_value"": 0.12216766515157171}]",False,,,,,,retry_now,retry_now,False,,False,logreg_v1_2026-08-25,phase7_v1,retry_now,False,,True,True
case_0003,2026-09-02T03:27:02.201162+00:00,restricted_card,1477.78,0.11103116831367724,"score=0.1110 vs band=[0.3793, 0.4681] (in_band=False); decline_code='restricted_card' (is_ambiguous=False) -> NOT routed (template_action=no_retry_prompt_update)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_HARD"", ""shap_value"": -0.9821377663885883}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.2669653754807266, ""shap_value"": -0.3580065059852519}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""day_of_week"", ""value"": ""tue"", ""shap_value"": 0.15966793820086891}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}]",False,,,,,hard_decline_excluded;requires_human_review_floor,no_retry_prompt_update,no_retry_prompt_update,False,,True,logreg_v1_2026-08-25,phase7_v1,no_retry_prompt_update,True,hard_decline_excluded,False,False
case_0004,2026-09-02T03:27:02.201691+00:00,stolen_card,1045.41,0.1871425998392732,"score=0.1871 vs band=[0.3793, 0.4681] (in_band=False); decline_code='stolen_card' (is_ambiguous=False) -> NOT routed (template_action=no_retry_prompt_update)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_HARD"", ""shap_value"": -0.9821377663885883}, {""feature"": ""ltv_tier"", ""value"": ""medium"", ""shap_value"": 0.27984421786915337}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.3366148893546171, ""shap_value"": -0.25120516161614503}, {""feature"": ""customer_tenure_days"", ""value"": 144, ""shap_value"": -0.1947441194934315}, {""feature"": ""day_of_week"", ""value"": ""tue"", ""shap_value"": 0.15966793820086891}]",False,,,,,hard_decline_excluded;requires_human_review_floor,no_retry_prompt_update,no_retry_prompt_update,False,,True,logreg_v1_2026-08-25,phase7_v1,no_retry_prompt_update,True,hard_decline_excluded,False,False
case_0005,2026-09-02T03:27:03.837947+00:00,05_do_not_honor,767.79,0.4887452180446278,"score=0.4887 vs band=[0.3793, 0.4681] (in_band=False); decline_code='05_do_not_honor' (is_ambiguous=True) -> ROUTED to LLM (trigger: ambiguous_code)","[{""feature"": ""prior_retry_success_count"", ""value"": 2, ""shap_value"": -0.33871676033139303}, {""feature"": ""ltv_tier"", ""value"": ""medium"", ""shap_value"": 0.27984421786915337}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""medium_risk"", ""shap_value"": 0.2655573382885513}, {""feature"": ""retry_attempt_number"", ""value"": 4, ""shap_value"": -0.17057923296627214}, {""feature"": ""customer_tenure_days"", ""value"": 1412, ""shap_value"": 0.1391153012905796}]",True,escalate_human,0.65,"The features provided are prior_retry_success_count, ltv_tier, issuer_bank_risk_tier, retry_attempt_number, and customer_tenure_days. The negative shap_value for prior_retry_success_count (-0.3387) and negative shap_value for retry_attempt_number (-0.1706) push the case toward non-recovery, indicating high friction in current retry efforts. Conversely, the positive shap_value for ltv_tier (0.2798), positive shap_value for issuer_bank_risk_tier (0.2656), and positive shap_value for customer_tenure_days (0.1391) suggest moderate customer quality. Given the conflicting signals and the fact that we have already exhausted four retry attempts (unranked context, not a SHAP-attributed driver), there is significant uncertainty regarding the efficacy of further automated retries. A human review is required to determine if the customer relationship justifies an alternative collection strategy.",True,npci_retry_cap_reached,escalate_human,no_retry_prompt_update,True,npci_retry_cap_reached,True,gemini:gemini-3.1-flash-lite,phase7_v1,no_retry_prompt_update,True,npci_retry_cap_reached,False,False
case_0006,2026-09-02T03:27:03.838635+00:00,stolen_card,1605.34,0.15394109908486617,"score=0.1539 vs band=[0.3793, 0.4681] (in_band=False); decline_code='stolen_card' (is_ambiguous=False) -> NOT routed (template_action=no_retry_prompt_update)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_HARD"", ""shap_value"": -0.9821377663885883}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.7779313150372335, ""shap_value"": 0.4255143864974746}, {""feature"": ""customer_tenure_days"", ""value"": 95, ""shap_value"": -0.2076456270789335}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}]",False,,,,,hard_decline_excluded;requires_human_review_floor,no_retry_prompt_update,no_retry_prompt_update,False,,True,logreg_v1_2026-08-25,phase7_v1,no_retry_prompt_update,True,hard_decline_excluded,False,False
case_0007,2026-09-02T03:27:05.700024+00:00,05_do_not_honor,589.11,0.48807043019634855,"score=0.4881 vs band=[0.3793, 0.4681] (in_band=False); decline_code='05_do_not_honor' (is_ambiguous=True) -> ROUTED to LLM (trigger: ambiguous_code)","[{""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""amount"", ""value"": 589.11, ""shap_value"": 0.1295085288169519}, {""feature"": ""payment_rail"", ""value"": ""card"", ""shap_value"": 0.12216766515157171}, {""feature"": ""hours_since_last_attempt"", ""value"": 67.52, ""shap_value"": 0.12023979499551157}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}]",True,retry_scheduled,0.65,"The features provided for this case are ltv_tier, amount, payment_rail, hours_since_last_attempt, and issuer_bank_risk_tier. The ltv_tier has a negative shap_value of -0.201, pushing the model toward non-recovery, likely due to the low LTV classification. The issuer_bank_risk_tier also has a negative shap_value of -0.119, further suggesting risk. Conversely, the amount (0.129), payment_rail (0.122), and hours_since_last_attempt (0.120) all carry positive shap_values, suggesting that the transaction volume and the extended wait time since the last attempt are favorable for a retry. Given that this is only the first retry attempt (unranked context, not a SHAP-attributed driver), a scheduled retry is the most appropriate action to balance the conflicting signals between the customer's risk profile and the positive transactional characteristics. I am missing data on the specific issuer's current status, which would have increased my confidence.",True,,retry_scheduled,retry_scheduled,False,,False,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,True,True
case_0008,2026-09-02T03:27:05.700724+00:00,stolen_card,1070.14,0.3549156827509115,"score=0.3549 vs band=[0.3793, 0.4681] (in_band=False); decline_code='stolen_card' (is_ambiguous=False) -> NOT routed (template_action=no_retry_prompt_update)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_HARD"", ""shap_value"": -0.9821377663885883}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.6925590838804724, ""shap_value"": 0.2946036514155138}, {""feature"": ""ltv_tier"", ""value"": ""medium"", ""shap_value"": 0.27984421786915337}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""medium_risk"", ""shap_value"": 0.2655573382885513}, {""feature"": ""customer_tenure_days"", ""value"": 399, ""shap_value"": -0.12760362083418636}]",False,,,,,hard_decline_excluded;requires_human_review_floor,no_retry_prompt_update,no_retry_prompt_update,False,,True,logreg_v1_2026-08-25,phase7_v1,no_retry_prompt_update,True,hard_decline_excluded,False,False
case_0009,2026-09-02T03:27:05.701164+00:00,issuer_unavailable,2952.94,0.24250614228878156,"score=0.2425 vs band=[0.3793, 0.4681] (in_band=False); decline_code='issuer_unavailable' (is_ambiguous=False) -> NOT routed (template_action=retry_scheduled)","[{""feature"": ""prior_retry_success_count"", ""value"": 3, ""shap_value"": -0.5597906365383629}, {""feature"": ""amount"", ""value"": 2952.94, ""shap_value"": -0.33999148974297433}, {""feature"": ""ltv_tier"", ""value"": ""medium"", ""shap_value"": 0.27984421786915337}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.3463228997148336, ""shap_value"": -0.23631878983905474}, {""feature"": ""day_of_week"", ""value"": ""mon"", ""shap_value"": 0.21919438607451347}]",False,,,,,npci_retry_cap_reached;requires_human_review_floor,retry_scheduled,no_retry_prompt_update,True,npci_retry_cap_reached,True,logreg_v1_2026-08-25,phase7_v1,no_retry_prompt_update,True,npci_retry_cap_reached,False,False
